REFERENCE CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE,
781,บริษัทบริหารสินทรัพย์ ไทยแคปิตอลริช จำกัด,"THAI CAPITAL RICH ASSET MANAGEMENT CO.,LTD.",25630617,
783,บริษัท บริหารสินทรัพย์ ชโย เจวี จำกัด,"CHAYO JV ASSET MANAGEMENT CO., LTD",25640409,
784,บริษัท บริหารสินทรัพย์ โฟร์ ซีส์ จำกัด,FOUR SEAS ASSET MANAGEMENT COMPANY LIMITED,25640409,
785,บริษัทบริหารสินทรัพย์ ปทุมธานี จำกัด,PATHUMTHANI ASSET MANAGEMENT COMPANY,25640824,
786,บริษัทบริหารสินทรัพย์ แคปปิตอลชัวร์ จำกัด,CAPITALSURE ASSET MANAGEMENT,25641014,
787,บริษัทบริหารสินทรัพย์ สยามวรินทร์,SIAMVARIN ASSET MANAGEMENT,25641201,
788,บริษัท บริหารสินทรัพย์สยามวรรณ จำกัด,"SIAMONE ASSET MANAGEMENT CO.,LTD.",25650202,
789,บริษัท บริหารสินทรัพย์ ตงฮั้ว จำกัด,"TONG HUA ASSET MANAGEMENT CO.,LTD.",25650211,
790,บริษัท บริหารสินทรัพย์ ไซมิส แอนด์ เวลธ์ จำกัด,"SIAMESE AND WEALTH ASSET MANAGEMENT CO., LTD.",25650616,
791,บริษัท บริหารสินทรัพย์ เจเค จำกัด,JK ASSET MANAGEMENT COMPANY LIMITED,25650617,
792,บริษัท บริหารสินทรัพย์สุรินทร์ จำกัด,"SURIN ASSET MANAGEMENT CO.,LTD.",25650708,
793,บริษัท บริหารสินทรัพย์พาวเวอร์ จำกัด,"POWER ASSET MANAGEMENT CO., LTD.",25650805,
794,บริษัท บริหารสินทรัพย์ คาร์ด เอกซ์ จำกัด,CARD X ASSET MANAGEMENT COMPANY LIMITED,25650815,
795,บริษัท บริหารสินทรัพย์ แคปปิตอล สาทร จำกัด,"CAPITAL SATHORN ASSET MANAGEMENT CO.,LTD",25650907,
796,บริษัท บริหารสินทรัพย์ยูโอบี เซอร์วิสเซส จำกัด,UOB SERVICES ASSET MANAGEMENT COMPANY LIMITED,25651028,
797,บริษัท บริหารสินทรัพย์ ไอคอน จำกัด,ICON ASSET MANAGEMENT LIMITED,25651125,
798,บริษัท บริหารสินทรัพย์ คอลเลคเชียส 2 จำกัด,"COLLECTIUS ASSET MANAGEMENT 2 CO., LTD.",25651223,
799,บริษัท บริหารสินทรัพย์ รอแยลเฮ้าส์ จำกัด,"ROYALHOUSE ASSET MANAGEMENT CO., LTD.",25651223,
829,"RESONA BANK, LIMITED","RESONA BANK, LIMITED",25301125,
838,คอมเมิร์ชแบงค์ อาคเทียนเกอเซลชาฟท์,COMMERZBANK AKTIENGESELLSCHAFT,25330201,
857,ดีบีเอส แบงค์ ลิมิเต็ด,DBS BANK LTD.,25431231,
865,ซีทีบีซี แบงค์ คอมปานี ลิมิเต็ด,"CTBC BANK CO., LTD.",25370913,
870,เครดิต อินดัสเทรียล เอ คอมเมอร์เชียล (ซี ไอ ซี),CREDIT INDUSTRIEL ET COMMERCIAL (CIC),25380403,
873,เฟิซท คอมเมอร์เชียล แบงค์ คัมปะนี ลิมิเต็ด,FIRST COMMERCIAL BANK,25380626,
882,NATIXIS,NATIXIS,25440523,
883,คาเธ่ย์ ยูไนเต็ด แบงก์,CATHAY UNITED BANK,25410504,
885,THE BANK OF NEW YORK MELLON,THE BANK OF NEW YORK MELLON,25470730,
886,ดีอีจี-ด้อยท์เช่ อินเวสติซิโอนส์-อุนด์ เอ็นวิกคลุงส์เกเซลชัฟท์ เอ็มบีเอช,DEG - DEUTSCHE INVESTITIONS - UND ENTWICKLUNGSGESELLSCHAFT MBH,25471001,
893,เดอะ ฮาชิจูนิ แบ๊งค์ ลิมิเต็ด จำกัด,"THE HACHIJUNI BANK, LTD.",25501001,
896,เจแปน ไฟแนนซ์ คอร์ปอเรชั่น,JAPAN FINANCE CORPORATION,25511001,
897,เดอะ ฮิโรชิม่า แบ๊งค์ ลิมิเต็ด,THE HIROSHIMA BANK LIMITED,25520424,
901,บริษัท บัตรกรุงไทย จำกัด (มหาชน),KRUNGTHAI CARD PUBLIC COMPANY LIMITED,25460317,
905,บริษัท อเมริกัน เอ็กซ์เพรส (ไทย) จำกัด,AMERICAN EXPRESS (THAI) COMPANY LIMITED,25460317,
906,บริษัท บัตรกรุงศรีอยุธยา จำกัด,"KRUNG SRIAYUDHYA CARD CO., LTD.",25460317,
907,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,25460317,
908,บริษัท เจเนอรัล คาร์ด เซอร์วิสเซส จำกัด,GENERAL CARD SERVICES LIMITED,25460317,
909,บริษัท โลตัสส์ มันนี่ เซอร์วิสเซส จำกัด,LOTUS’S MONEY SERVICES LIMITED,25460317,
910,บริษัท อยุธยา แคปปิตอล เซอร์วิสเซส จำกัด,AYUDHYA CAPITAL SERVICES COMPANY LIMITED,25371109,
911,บริษัท อีซี่ บาย จำกัด (มหาชน),EASY BUY PUBLIC COMPANY LIMITED,25440629,
912,บริษัท แคปปิตอล โอเค จำกัด,CAPITAL OK COMPANY LIMITED,25470702,
913,บริษัท ไทยสมาร์ทคาร์ด จำกัด,"THAI SMARTCARD CO., LTD.",25481208,
914,บริษัท เวีย การ์ด (ประเทศไทย) จำกัด,"VIA CARD (THAILAND) CO., LTD.",25480901,
915,บริษัท แอดวานซ์ เอ็มเปย์ จำกัด,"ADVANCED MPAY CO., LTD.",25480801,
917,บริษัท แอดวานซ์ เมจิค การ์ด จำกัด,"ADVANCED MAGIC CARD CO.,LTD.",25480823,
918,บริษัท เพย์สบาย จำกัด,"PAYSBUY CO., LTD.",25480720,
919,บริษัท ทรู มันนี่ จำกัด,"TRUE MONEY CO.,LTD.",25480909,
920,บริษัท พรอมิส (ประเทศไทย) จำกัด,PROMISE (THAILAND) COMPANY LIMITED,25480926,
922,บริษัท ยูโอบี แคปปิตอล เซอร์วิสเซส จำกัด,UOB CAPITAL SERVICES COMPANY LIMITED,25480916,
923,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),SGF CAPITAL PUBLIC COMPANY LIMITED,25481021,
925,บริษัท วี แคช เอ็นเตอร์ไพรส์ จำกัด,"V CASH ENTERPRISE CO.,LTD.",25481021,
926,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,25481021,
930,บริษัท เครดีโว่ (ไทยแลนด์) จำกัด,KREDIVO (THAILAND) COMPANY LIMITED,25481021,
931,บริษัท อยุธยา แคปปิตอล ออโต้ ลีส จำกัด (มหาชน),AYUDHYA CAPITAL AUTO LIASE PUBLIC COMPANY LIMITED,25481021,
932,บริษัท ศักดิ์สยามลิสซิ่ง จำกัด (มหาชน),SAKSIAM LEASING PUBLIC COMPANY LIMITED,25481021,
935,บริษัท สินมิตร จำกัด,"CINMIT CO., LTD.",25481021,
942,บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน),MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED,25491101,
944,บริษัท กรุงไทยธุรกิจลีสซิ่ง จำกัด,KTB LEASING COMPANY LIMITED,25500214,
945,บริษัท เงินติดล้อ จำกัด (มหาชน),NGERN TID LOR PUBLIC COMPANY LIMITED,25541001,
946,บริษัท สามารถ ไอ-โมบาย จำกัด (มหาชน),"SAMART I-MOBILE PUBLIC CO., LTD.",25540515,
947,บริษัท เซ็นทรัลแฟมิลี่มาร์ท จำกัด,"CENTRAL FAMILYMART CO., LTD.",25541213,
948,บริษัท คาร์ด อัลไลแอนซ์ (ประเทศไทย) จำกัด,"CARD ALLIANCE (THAILAND) CO., LTD.",25540520,
949,บริษัท บางกอก สมาร์ทการ์ด ซิสเทม จำกัด,"BANGKOK SMARTCARD SYSTEM CO., LTD.",25520205,
950,บริษัท ไอพี เพย์เมนท์ โซลูชั่น จำกัด,"IP PAYMENTSOLUTION CO., LTD.",25551218,
951,บริษัท ทูซีทูพี (ประเทศไทย) จำกัด,"2C2P (THAILAND) CO., LTD.",25540815,
952,บริษัท เงินสดทันใจ จำกัด,FAST MONEY COMPANY LIMITED,25541104,
953,บริษัท เจ เอ็ม ที เน็ทเวอร์ค เซอร์วิสเซ็ส จำกัด (มหาชน),JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,25570204,
955,บริษัท ทีทูพี จำกัด,"T2P CO., LTD.",25540628,
956,บริษัท เทเลอินโฟ มีเดีย จำกัด (มหาชน),"TELEINFO MEDIA PUBLIC CO., LTD.",25480830,
957,บริษัท เพย์เพด จำกัด,"PAYPAID CO., LTD.",25560410,
958,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),"BIG C SUPERCENTER PUBLIC CO., LTD.",25560328,
959,บริษัท รีโซลูชั่น เวย์ จำกัด,"RESOLUTION WAY CO.,LTD.",25560214,
960,บริษัท ไลน์ เพย์ (ประเทศไทย) จำกัด,LINE PAY (THAILAND) COMPANY LIMITED,25551226,
961,บริษัท สมาร์ทโมชั่น (ไทยแลนด์) จำกัด,"SMART MOTION (THAILAND) CO., LTD.",25560505,
962,บริษัท 123 เซอร์วิส จำกัด,"123 SERVICE CO., LTD.",25560218,
963,บริษัท แอลเอ็นดับเบิ้ลยู จำกัด,"LNW CO., LTD.",25560321,
964,บริษัท ไทยแวน เซอร์วิส จำกัด,THAIVAN SERVICE COMPANY LIMITED,25560527,
965,บริษัท อินเทอร์เน็ตประเทศไทย จำกัด (มหาชน),"INTERNET THAILAND PUBLIC CO., LTD.",25520513,
966,บริษัท โอเรียลทัล ซิตี้ กรุ๊ป (ประเทศไทย) จำกัด,"ORIENTAL CITY GROUP (THAILAND) CO., LTD.",25520513,
967,บริษัท ไปรษณีย์ไทย จำกัด,"THAILAND POST CO., LTD.",25520513,
968,บริษัท สรรพสินค้าเซ็นทรัล จำกัด,"CENTRAL DEPARTMENT STORE CO.,LTD.",25520513,
969,บริษัท เนชั่นแนล ไอทีเอ็มเอ๊กซ์ จำกัด,"NATIONAL ITMX CO., LTD.",25520513,
970,บริษัท เคาน์เตอร์เซอร์วิส จำกัด,"COUNTERSERVICE CO., LTD.",25520513,
971,บริษัท เจ มาร์ท จำกัด (มหาชน),"JAY MART PUBLIC CO., LTD.",25520513,
972,บริษัท เชฟรอน (ไทย) จำกัด,CHEVRON (THAILAND) LIMITED,25520513,
973,บริษัท ไชโย โฮสติ้ง จำกัด,"CHAIYO HOSTING CO., LTD.",25520513,
974,บริษัท ตลาด ดอท คอม จำกัด,"TARAD DOT COM CO., LTD.",25520513,
975,บริษัท ทีโอที จำกัด (มหาชน),"TOT PUBLIC CO., LTD.",25520513,
976,บริษัท เน็กซ์โพสท์ จำกัด,"NEXTPOST CO., LTD.",25520513,
977,บริษัท เน็ตเบย์ จำกัด (มหาชน),NETBAY PUBLIC COMPANY LIMITED,25520513,
978,บริษัท โพลาร์ เว็บแอปพลิเคชั่น จำกัด,"PORAR WEB APPLICATION CO., LTD.",25520513,
979,บริษัท เมเจอร์ ซีนีเพล็กซ์ กรุ้ป จำกัด (มหาชน),"MAJOR CINEPLEX GROUP PUBLIC CO., LTD.",25520513,
980,บริษัท ศูนย์ประมวลผล จำกัด,"PROCESSING CENTER CO., LTD.",25520513,
981,บริษัท อินเตอร์เนชั่นแนล คอมเมอร์เชียล โคออร์ดิเนชั่น จำกัด,"INTERNATIONAL COMMERCIAL COORDINATION CO.,LTD.",25310829,
982,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,"EK-CHAI DISTRIBUTION SYSTEMS CO., LTD.",25520513,
983,บริษัท เอเชีย เพย์ (ประเทศไทย) จำกัด,ASIA PAY (THAILAND) LIMITED,25520513,
984,บริษัท ระบบขนส่งมวลชนกรุงเทพ จำกัด (มหาชน),"BANGKOK MASS TRANSIT SYSTEM PUBLIC CO., LTD.",25520818,
985,บริษัท สำนักหักบัญชี (ประเทศไทย) จำกัด,"THAILAND CLEARING HOUSE CO., LTD.",25530205,
986,บริษัท โกลบอล เซอร์วิส เซ็นเตอร์ จำกัด,GLOBAL SERVICE CENTER,25530305,
987,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),CAT TELECOM PUBLIC COMPANY LIMITED,25530205,
988,บริษัท สหพัฒนพิบูล จำกัด (มหาชน),SAHA PATHANAPIBUL PLC.,25530618,
989,บริษัท ดีเอฟ มาร์เก็ตเพลส จำกัด,DF MARKETPLACE LIMIED,25531015,
990,บริษัท ไทยเอซ แคปปิตอล จำกัด,"THAIACE CAPITAL CO., LTD.",25570203,
991,บริษัท แอตเซลเล้นซ์ (ประเทศไทย) จำกัด,ACCELLENCE (THAILAND) LIMITED,25571118,
992,บริษัท จีเอชแอล อีเปย์เม้นส์ จำกัด,"GHL EPAYMENT CO., LTD.",25590114,
993,บริษัท เพย์ โซลูชั่น จำกัด,"PAY SOLUTION CO.,LTD.",25580101,
994,บริษัท ไฮเวย์ จำกัด,"HI-WAY CO., LTD.",25580506,
996,บริษัท อี-โพส เซอร์วิส จำกัด,"E-POS SERVICE CO.,LTD.",25571112,
998,บริษัท ซัมมิท แคปปิตอล ลีสซิ่ง จำกัด,"SUMMIT CAPITAL LEASING CO., LTD.",25590516,
0105526053562,บริษัท มี แคปปิตอล จำกัด,"MEE CAPITAL CO., LTD.",25630825,
0105528009471,บริษัท ตรีเพชรอีซูซุลิสซิ่ง จำกัด,"TRI PETCH IZUZU LEASING CO., LTD.",25660401,
0105530038998,บริษัท ไทย วี.พี.คอร์ปอเรชั่น จำกัด,"THAI VP CORPORATION CO.,LTD.",25650701,
0105536113061,บริษัท ที ลีสซิ่ง จำกัด,T LEASING COMPANY LIMITED,25620829,
0105536113550,บริษัท โตโยต้า ลีสซิ่ง (ประเทศไทย) จำกัด,"TOYOTA LEASING (THAILAND) CO., LTD.",25481021,
0105537066342,บริษัท เวิลด์ลีส จำกัด,"WORLDLEASE CO., LTD",25640519,
0105545068651,บริษัท มาสเตอร์ คาร์เร้นเทิล จำกัด,"MASTER CAR RENTAL CO., LTD",25641018,
0105545086250,บริษัท ทิพพรัฐ บิสสิเนส กรุ๊ป จำกัด,THIPPARATH BUSINESS GROUP COMPANY LIMITED,25660801,
0105547166951,บริษัท ลีสซิ่งกสิกรไทย จำกัด,,25620830,
0105549046929,บริษัท โพลี่คิวบ์ จำกัด,POLYCUBE COMPANY LIMITED,25650915,
0105556158354,บริษัท ทเวลฟ์ วิคทอรี่ จำกัด,"TWELVE VICTORY CO,.LTD.",25640519,
0105557065155,บริษัท เจริญสิน แคปปิตอล จำกัด,"CHAROENSIN CAPITAL CO., LTD.",25650601,
0105557172202,บริษัท ซุปเปอร์ริช เคอเรนซี่ เอ็กซ์เชนจ์ (1965) จำกัด,SUPERRICH CURRENCY EXCHANGE (1965) COMPANY LIMITED,25660130,
0105558017189,บริษัท คาเธ่ย์ อินเตอร์เนชั่นแนล ช๊อปปิ้ง เซ็นเตอร์ จำกัด,"CATHAY INTERNATIONAL SHOPPING CENTER CO., LTD.",25640816,
0105558020821,บริษัท ลัคกี้ ลีสซิ่ง จำกัด,"LUCKY LEASING CO., LTD",25631101,
0105558082100,บริษัท แท็กซี่ โอเค จำกัด,,25630817,
0105558136684,บริษัท เร็ด ดอท (ประเทศไทย) จำกัด,RED DOT (THAILAND) LIMITED,25630316,
0105559144371,บริษัท ฟอร์ท สมาร์ท แคปปิตอล จำกัด,"FORTH SMART CAPITAL CO., LTD.",25621201,
0105559165599,บริษัท ชัวร์เทเบิล จำกัด,"SURETABLE CO.,LTD.",25640610,
0105560027749,บริษัท ไวเพย์ จำกัด,"WIPAY CO.,LTD.",25640816,
0105560060533,บริษัท สบาย มันนี่ จำกัด,"SABUY MONEY CO.,LTD.",25631201,
0105560068267,บริษัท โนมู เพย์ (ประเทศไทย) จำกัด,"NOMU PAY (THAILAND) CO., LTD.",25650101,
0105560089621,บริษัท เหลียนเหลียน เพย์ อิเล็คทรอนิค เพย์เม้นท์ (ประเทศไทย) จำกัด,LIANLIAN PAY ELECTRONIC PAYMENT (THAILAND)LTD,25620815,
0105560141177,บริษัท อินเซปชั่น เทคโนโลยี จำกัด,"INCEPTION TECHNOLOGY CO., LTD.",25650601,
0105560142564,บริษัท ฟินเน็ต อินโนเวชั่น เน็ตเวิร์ค จำกัด,FINNET INNOVATION NETWORK COMPANY LIMITED,25621111,
0105560186715,บริษัท เรนนี่ คอปเปอเรชั่น จำกัด,RENNY CORPORATION COMPANY LIMITED,25640408,
0105561010041,บริษัท จีเพย์ เน็ตเวิร์ค (ที) จำกัด,GPAY NETWORK (T) LIMITED,25640824,
0105561020934,บริษัท เนสท์ติฟลาย จำกัด,"NESTIFLY CO., LTD.",25650518,
0105561052224,บริษัท เอเลเม้นท์ เพย์เม้นท์ โซลูชั่นส์ (ประเทศไทย) จำกัด,"ELEMENT PAYMENT SOLUTIONS (THAILAND) CO., LTD.",25640806,
0105561062076,บริษัท ไทยไมโคร ดิจิทัล โซลูชั่นส์ จำกัด,THAI MICRO DIGITAL SOLUTIONS COMPANY LIMITED,25620820,
0105561066616,บริษัท เวล็อคซ์ ฟินเทค จำกัด,"VELOX FINTECH CO., LTD.",25630508,
0105561094504,บริษัท ซุปเปอร์ริช ดิจิทัล จำกัด,SUPERRICH DIGITAL COMPANY LIMITED,94560101,
0105561126546,แทร็กซ์ (ไทยแลนด์) จำกัด,TRAX (THAILAND) COMPANY LIMITED,25641101,
0105561185364,บริษัท แวลลู พลัส แอสเสท จำกัด,"VALUE PLUS ASSET CO., LTD.",25650914,
0105561194495,บริษัท แฟลช มันนี่ จำกัด,FLASH MONEY,25640531,
0105561194509,บริษัท แฟลช เพย์ จำกัด,"FLASH PAY CO., LTD.",25640507,
0105562000228,บริษัท กสิกร โกลบอล เพย์เมนต์ จำกัด,"KASIKORN GLOBAL PAYMENT CO., LTD.",25620802,
0105562000341,บริษัท บิ๊ก เพย์ (ประเทศไทย) จำกัด,BIG PAY (THAILAND) LIMITED,25670304,
0105562005459,บริษัท แอพเพิล แคช จำกัด,"APPLE CASH CO., LTD",25630901,
0105562014199,บริษัท เอพีเอ็ม แมเนจเม้นท์ จำกัด,"APM MANAGEMENT CO., LTD.",25660621,
0105562025743,บริษัท สบายใจมันนี่ จำกัด,"SABAIJAI MONEY CO., LTD.",25630625,
0105562074027,บริษัท สไตรพ์ เพย์เม้นส์ (ประเทศไทย) จำกัด,STRIPE PAYMENTS (THAILAND) LTD.,25650101,
0105562092165,บริษัท เคทีซี นาโน จำกัด,"KTC NANO CO., LTD",25621125,
0105562104309,บริษัท ซี เพย์เมนท์ โซลูชั่น จำกัด,"C PAYMENT SOLUTION CO., LTD.",25650811,
0105562124041,บริษัท ดีเทอร์มิน่า จำกัด,"DETERMINA CO., LTD.",25650210,
0105562125993,บริษัท จีนี่ ฟินเทค จำกัด,"GENIE FINTECH CO., LTD",25640614,
0105562147865,บริษัท แรพพิด แคปปิตอล จำกัด,"RAPID CAPITAL CO.,LTD",25630413,
0105562151293,บริษัท สยาม ดิจิทัล เลนดิ้ง จำกัด,"SIAM DIGITAL LENDING CO., LTD.",25660112,
0105562166215,บริษัท ดิจิเพย์ จำกัด,"DIGIPAY CO., LTD.",25640320,
0105562168757,บริษัท ไซล็อต ดิจิทัล จำกัด,SILOT DIGITAL COMPANY LIMITED,25650125,
0105562181354,บริษัท บีม เดต้า จำกัด,BEAM DATA COMPANY LIMITED,25660227,
0105563003603,บริษัท มันนิกซ์ จำกัด,,25630511,
0105563005096,บริษัท ดาโอ เลนด์ (ประเทศไทย) จํากัด,DAOL LEND (THAILAND) COMPANY LIMITED,25650601,
0105563037494,บริษัท ฮิคดันสแควร์ จำกัด,"HIDDENSQUARE CO., LTD.",25650524,
0105563041882,บริษัท อาคเนย์ มันนี่ รีเทล จำกัด,SOUTHEAST MONEY RETAIL COMPANY LIMITED,25650505,
0105563067245,บริษัท ออล ฟินเทค จำกัด,ALL FINTECH COMPANY LIMITED,25640114,
0105563078921,บริษัท จียูเพย์ จำกัด,GUPAY COMPANY LIMITED,25650801,
0105563101346,บริษัท เซ็นดิท วอลเล็ท จำกัด,XENDIT WALLET COMPANY LIMITED,25641104,
0105563101761,บริษัท เพอร์เพิล เวนเจอร์ส จำกัด,PURPLE VENTURES COMPANY LIMITED,25660807,
0105563138266,บริษัท มันนี่ ฮับ เซอร์วิส จำกัด,"MONEY HUB SERVICES CO., LTD",25641104,
0105563150452,บริษัท ศรีสวัสดิ์ พาวเวอร์ 2022 จำกัด,"SRISAWAD POWER 2022 CO., LTD.",25650701,
0105563159743,บริษัท เคทีซี พรีเพด จำกัด,"KTC PREPAID CO., LTD.",25650317,
0105563162337,บริษัท แมกซ์ การ์ด จำกัด,"MAX CARD CO., LTD.",25650627,
0105564011375,บริษัท อีซี่ เลนดิ้ง จำกัด,EASY LENDING LIMITED,25641004,
0105564038591,บริษัท 33 รีมิตแตนซ์ จำกัด,33 REMITTANCE COMPANY LIMITED,25650816,
0105564044711,บริษัท ออล มันนี่ จำกัด,"ALL MONEY CO., LTD.",25660301,
0105564055135,บริษัท กัปตัน แคช แคปปิตอล จำกัด,"CAPTAIN CASH CAPITAL CO., LTD.",25641122,
0105564058894,บริษัท แรบบิท แคช จำกัด,RABBIT CASH COMPANY LIMITED,25650512,
0105564081900,บริษัท โนว่า แคปปิตอล จำกัด,"NOVA CAPITAL CO., LTD.",25670401,
0105564111426,บริษัทบริหารสินทรัพย์ แคปปิตอล กรุ๊ป จำกัด,"CAPITAL GROUP ASSET MANAGEMENT CO., LTD.",25660315,
0105564116878,บริษัท เป็นต่อ แคปปิตอล จำกัด,"PENTOR CAPITAL CO,LTD",25651010,
0105564127136,บริษัท เน็คซ์ มันนี่ จำกัด,NEXT MONEY COMPANY LIMITED,25660401,
0105564131664,บริษัท อินเตอร์เซนด์ มันนี่ จำกัด,INTERSEND MONEY COMPANY LIMITED,25650429,
0105564140132,บริษัท อาร์เจนโต้ เทค จำกัด,"ARGENTO TECH CO., LTD.",25670715,
0105564143051,บริษัท เงินสดใจดี จำกัด,"NGERN SOD JAIDEE CO., LTD.",25660908,
0105564147897,บริษัท เงินเฮง จำกัด,"NGERNHENG CO., LTD.",25660202,
0105564154826,บริษัท เมืองไทย เพย์ เลเทอร์ จำกัด,MUANGTHAI PAY LATER LIMITED,25650316,
0105564161580,บริษัท คาร์ด เอกซ์ จำกัด,CARD X COMPANY LIMITED,25650901,
0105564161598,บริษัท ออโต้ เอกซ์ จำกัด,AUTO X COMPANY LIMITED,25650621,
0105565063841,บริษัท บิ๊ก มันนี่ พลัส จำกัด,BIG MONEY PLUS COMPANY LIMITED,25660901,
0105565078813,บริษัท เงินเรื่องจิ๊บ จำกัด,"NGERN RUEANG JIB CO., LTD.",25660915,
0105565123843,บริษัท บริหารสินทรัพย์ อิออน (ประเทศไทย) จำกัด,,25670426,
0105565123959,บริษัท บริหารสินทรัพย์ เอซีซี จำกัด,"ACC ASSET MANAGEMENT CO., LTD.",25660616,
0105565143429,บริษัท ฟิน ทันใจ กรุ๊ป จำกัด,"FIN TUNJAI GROUP CO., LTD.",25670405,
0105565188279,บริษัท บริหารสินทรัพย์ โบกาท จำกัด,"BOGAT ASSET MANAGEMENT CO., LTD.",25660914,
0105565190478,บริษัท บริหารสินทรัพย์ แคปปิตอล ลิ้งค์ พลัส จำกัด,CAPITAL LINK PLUS ASSET MANAGEMENT LIMITED,25660616,
0105566004082,บริษัท อาคุละคุ เอกซ์ จำกัด,"AKULAKU X CO., LTD.",25661206,
0105566082563,บริษัท เงินให้ใจ จำกัด,"NGERN HAI JAI CO., LTD.",25670329,
0105566108627,บริษัท เงินดีดี จำกัด,"MONEY DD CO., LTD.",25670704,
0107536000722,บริษัท ศรีสวัสดิ์ แคปปิตอล 1969 จำกัด (มหาชน),SRISAWAD CAPITAL 1969 PUBLIC COMPANY LIMITED,25660201,
0107538000738,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน),AMANAH LEASING PUBLIC COMPANY LIMITED,25650901,
0107545000209,บริษัท ราชธานีลิสซิ่ง จำกัด (มหาชน),RATCHTHANI LEASING PUBLIC COMPANY LIMITED,25650601,
0107546000288,บริษัท ตะวันออกพาณิชย์ลีสซิ่ง จำกัด (มหาชน),EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED,25650909,
0107550000114,บริษัท ล็อกซเล่ย์ ออบิท จำกัด (มหาชน),"LOXLEY ORBIT PUBLIC CO., LTD.",25620926,
0107553000182,บริษัท สกาย ไอซีที จำกัด (มหาชน),SKY ICT PUBLIC COMPANY LIMITED,25640921,
0107556000353,บริษัท ลีซ อิท จำกัด (มหาชน),,25640601,
0107556000698,บริษัท เอส 11 กรุ๊ป จำกัด (มหาชน),S 11 GROUP PUBLIC COMPANY LIMITED,25660301,
0107558000270,บริษัท เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน),ASN BROKER PUBLIC COMPANY LIMITED,25630720,
0107564000383,บริษัท เอสจี แคปปิตอล จำกัด (มหาชน),SG CAPITAL PUBLIC COMPANY LIMITED,25621218,
0107565000263,บริษัท สตาร์ มันนี่ จำกัด (มหาชน),STAR MONEY PUBLIC COMPANY LIMITED,25590627,
0115561024484,บริษัท เอ็ม เอส ซี ดับเบิลยู จำกัด,"MSCW CO.,LTD.",25640401,
0115561030204,บริษัท ควอนตัม เวกเตอร์ จำกัด,"QUANTUM VECTOR CO., LTD",25640111,
0115562015543,บริษัท มิตรสิบ เสกเงิน จำกัด,"MITSIB SEKNGOEN CO.,LTD",25621113,
0125560000379,บริษัท บิ๊กบอท เอไอ จำกัด,"BIGBOT AI CO., LTD.",25600109,
0165529000052,บริษัท ศรีสมบูรณ์ธุรกิจเซ็นเตอร์ จำกัด,,25670201,
0175564000420,บริษัท เงินพร้อมใช้ จำกัด,"NGERNPROMCHAI CO.,LTD.",25650222,
0215562005041,บริษัท มั่งมี เอพลัส จำกัด,MUNG MEE A PLUS COMPANY LIMITED,25660105,
0305547000814,บริษัท สินธร แคปปิตอล จำกัด,"SINTORN CAPITAL CO., LTD.",25630430,
0325564000380,บริษัท 7วัน เงินทันใจ จำกัด,,25641201,
0335554000093,บริษัท ฉัตรชัย ลีสซิ่ง จำกัด,,25651001,
0405561000051,บริษัท สหะพืชผล แคปปิตอล จำกัด,"SAHAPHUECHPHOL CAPITAL CO., LTD",25621218,
0405562001205,บริษัท ทุนแหลมทอง จำกัด,LAEMTHONG CAPITAL COMPANY LIMITED,25650502,
0405562002163,บริษัท บ้านไผ่ลิสซิ่ง จำกัด,,25630309,
0415562001051,บริษัท อุ่นใจ ออโต้ ลิสซิ่ง จำกัด,"AUNJAI AUTO LEASING CO., LTD",25640830,
0505545000998,บริษัท มิตรสินด่วน จำกัด,"MITR SIN DUAN CO.,LTD.",25620805,
0505545001536,บริษัท เงินด่วน กันเอง จำกัด,"NGERNDUAN KANENG CO.,LTD",25630805,
0505564015024,บริษัท เงินซิ่งได้ ฟอร์ ควิก แคช จำกัด,"NGERN ZING DAI FOR QUICK CASH CO., LTD.",25650601,
0515559000987,บริษัท ใจกว้าง เอเชีย ธนพัฒน์ จำกัด,"JAIKWANG ASIA THANAPAT CO.,LTD",25630309,
0545547000065,บริษัท ลิสซิ่ง ทรัพย์สยาม จำกัด,,25620821,
0575563002123,บริษัท วิง มันนี่ จำกัด,"WING MONEY CO.,LTD.",25640816,
0605559000986,บริษัท เอส-สปีด ลิสซิ่ง จำกัด,"S-SPEEDLEASING CO.,LTD",25630309,
